703b25e2-be87-4dd9-a8e4-5fb4daf03178;Rural Decibel;4992;12072;26;57;CRUISER;4;
da91eb9b-467c-493c-860c-8c4606e95bd8;Shaggy Gold Hide;6480;10608;22;57;CRUISER;6;
31e93011-2968-4dc0-94f5-edd817ebb440;Reflective Blackmaw;1632;5976;25;62;CRUISER;6;
82404505-7c9e-43ff-8412-16d05bf066f5;Falcon;1392;12384;14;56;CRUISER;8;
49caa71a-7154-45d5-a40d-13ac077c9fa0;Nondescript Phynefis;3936;10584;22;52;HEAVY_SCOUT;4;
2ae70c5e-57e5-4efd-b375-223b70d87e61;The Lincoln;13296;10680;18;56;CRUISER;2;
1605140a-2c87-49f3-aab2-4a728c30b3c0;Holistic Glorious;7560;11736;24;58;INTERCEPTOR;2;
3f78e445-706e-4b0a-b3cf-9cca458ed35e;Gabby Zale;1920;1848;24;54;CRUISER;8;
0c71059d-1dae-41d8-bf98-86decf3386ef;Noisy Marauder Of Rinti;9264;3072;20;58;BATTLESHIP;5;
77476daf-e253-460e-a93a-3decc32c0dcf;Staking Widow Maker;8112;10872;15;58;HEAVY_SCOUT;6;
